118A 	-1500	2000
118B 	-1340	2160
118C 	-1135	2365
118D 	-1500	2155
118E 	-1345	2000
118F 	-1500	2310
118G 	-1135	2000
118H 	-1180	2210
119A 	-1000	2000
119B 	-840	2160
119C 	-635	2365
119D 	-1000	2155
119E 	-845	2000
119F 	-1000	2366
119G 	-635	2000
119H 	-680	2210
120A 	-500	2000
120B 	-340	2160
120C 	-135	2365
120D 	-500	2155
120E 	-345	2000
120F 	-443	2310
120G 	-135	2000
120H 	-180	2210
121A 	-5000	2500
121B 	-4840	2660
121C 	-4635	2865
121D 	-5000	2655
121E 	-4845	2500
121F 	-4943	2866
121G 	-4635	2500
121H 	-4680	2710
122A 	-4500	2500
122B 	-4340	2660
122C 	-4135	2865
122D 	-4500	2655
122E 	-4345	2500
122F 	-4345	2866
122G 	-4135	2500
122H 	-4180	2710
123A 	-4000	2500
123B 	-3840	2660
123C 	-3635	2865
123D 	-4000	2655
123E 	-3845	2500
123F 	-3790	2866
123G 	-3635	2500
123H 	-3680	2710
124A 	-3500	2500
124B 	-3340	2660
124C 	-3135	2865
124D 	-3500	2655
124E 	-3345	2500
124F 	-3500	2866
124G 	-3192	2556
124H 	-3180	2710
125A 	-3000	2500
125B 	-2840	2660
125C 	-2635	2865
125D 	-3000	2655
125E 	-2845	2500
125F 	-2943	2866
125G 	-2692	2556
125H 	-2680	2710
126A 	-2500	2500
126B 	-2340	2660
126C 	-2135	2865
126D 	-2500	2655
126E 	-2345	2500
126F 	-2345	2866
126G 	-2192	2556
126H 	-2180	2710
127A 	-2000	2500
127B 	-1840	2660
127C 	-1635	2865
127D 	-2000	2655
127E 	-1845	2500
127F 	-2000	2810
127G 	-1635	2556
127H 	-1680	2710
128A 	-1500	2500
128B 	-1340	2660
128C 	-1135	2865
128D 	-1500	2655
128E 	-1345	2500
128F 	-1500	2866
128G 	-1135	2556
128H 	-1180	2710
129A 	-1000	2500
129B 	-840	2660
129C 	-635	2865
129D 	-1000	2655
129E 	-845	2500
129F 	-943	2810
129G 	-635	2556
129H 	-680	2710
130A 	-500	2500
130B 	-340	2660
130C 	-135	2865
130D 	-500	2655
130E 	-345	2500
130F 	-443	2866
130G 	-135	2556
130H 	-180	2710
131A 	-5000	3000
131B 	-4840	3160
131C 	-4635	3365
131D 	-5000	3155
131E 	-4845	3000
131F 	-4845	3366
131G 	-4635	3056
131H 	-4680	3210
132A 	-4500	3000
132B 	-4340	3160
132C 	-4135	3365
132D 	-4500	3155
132E 	-4345	3000
132F 	-4290	3366
132G 	-4135	3056
132H 	-4180	3210
133A 	-4000	3000
133B 	-3840	3160
133C 	-3635	3365
133D 	-4000	3155
133E 	-3845	3000
133F 	-4000	3310
133G 	-3845	3366
133H 	-3681	3156
134A 	-3500	3000
