33E	-781.729	762.917	3621.48
33E	-605.828	683.433	3111.19
33E	-735.636	742.207	3488.25
33E	-597.082	679.399	3086.05
33E	-688.781	721.031	3352.29
33E	-719.163	734.836	3440.43
127D	-170.588	-464.014	3202.73
127D	-209.862	-509.109	3406.79
127D	-216.353	-516.592	3440.1
127D	-262.34	-569.412	3678.79
127D	-164.812	-457.418	3173.25
127D	-224.323	-525.688	3481.12
127D	-238.294	-541.792	3553.61
127D	-156.127	-447.393	3128.11
201H	412.578	438.81	3672.21
201H	413.818	416.233	3313.47
201H	412.883	430.992	3551.74
201H	414.344	407.865	3178.19
201H	414.616	404.467	3122.23
201H	413.792	418.203	3341.81
201H	412.954	429.643	3529.05
201H	413.551	426.14	3465.95
63A	-644.56	321.183	3129.43
63A	-722.857	328.886	3350.24
63A	-715.816	328.229	3330.53
63A	-823.42	338.626	3633.28
63A	-639.052	320.701	3114.41
63A	-773.283	333.799	3492.56
63A	-756.501	332.115	3445.11
63A	-633.612	320.181	3098.96
127H	-91.1709	-480.349	3212.95
127H	-169.188	-586.391	3681.93
127H	-131.578	-535.238	3454.92
127H	-85.7639	-473.027	3181.05
127H	-124.397	-525.71	3413.41
127H	-149.123	-559.333	3561.52
127H	-136.545	-542.103	3486.16
127H	-76.9414	-461.223	3128.81
237A	1099.68	57.1778	3330.45
237A	1071.15	63.9525	3194.27
237A	1154.07	44.1819	3589.61
237A	1123.77	51.4304	3445
237A	1127.77	50.4155	3464.7
237A	1068.91	64.4878	3183.71
237A	1126.23	50.7811	3456.91
237A	1051.02	68.8671	3098.78
28C	57.3556	725.026	3222.39
28C	32.5096	759.564	3432.56
28C	27.7534	765.822	3471.74
28C	61.7333	719.107	3185.97
28C	5.50411	796.958	3660.62
28C	17.2998	781.089	3563.28
28C	26.8727	767.74	3482
28C	72.8158	703.576	3091.77
22F	-985.275	819.312	3613.37
22F	-779.766	731.115	3103.47
22F	-871.2	770.461	3330.78
22F	-856.212	763.989	3293.17
22F	-775.026	729.292	3092.27
22F	-927.067	794.371	3469.29
22F	-910.675	787.218	3428.39
22F	-770.759	727.406	3081.59
40C	306.244	596.665	3228.21
40C	296.623	627.298	3478.88
40C	290.721	646.536	3635.51
40C	294.998	632.842	3522.79
40C	308.556	589.561	3169.15
40C	312.319	577.299	3070.16
40C	299.173	619.886	3417.14
40C	297.387	625.071	3459.82
